merge_id,num_chunks,total_resolution_pattern
20,1,OURS
34,1,THEIRS
43,5,THEIRS|THEIRS|THEIRS|OURS|THEIRS
46,80,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|NON|OURS|OURS|NON|OURS|THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
50,8,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
51,1,THEIRS
72,1,OURS
75,1,OURS
80,1,OURSTHEIRS
93,1,OURSTHEIRS
121,2,THEIRS|THEIRS
141,2,OURS|NON
156,6,OURS|OURS|OURS|OURS|OURS|NON
162,2,OURS|THEIRS
189,1,OURS
199,1,THEIRS
201,1,THEIRS
203,11,OURS|OURS|NON|BASE|OURS|NON|NON|OURS|OURS|OURS|NON
206,1,NON
209,1,OURS
234,2,OURS|OURS
241,1,OURSTHEIRS
243,2,THEIRS|THEIRS
248,1,OURS
270,7,OURS|OURS|OURS|OURS|OURS|OURS|OURS
296,1,NON
312,4,THEIRS|THEIRS|THEIRS|THEIRS
322,2,BASE|THEIRS
331,1,NON
362,10,OURS|THEIRS|NON|THEIRS|THEIRS|THEIRS|NON|NON|THEIRS|OURS
370,3,OURS|OURS|OURS
427,1,OURS
469,1,NON
475,2,OURS|OURS
502,2,NON|NON
510,1,OURS
519,2,OURSTHEIRS|THEIRS
541,1,THEIRS
548,2,NON|OURSTHEIRS
551,1,OURS
557,1,THEIRS
568,2,OURS|OURS
