merge_id,num_chunks,total_resolution_pattern
2,1,NON
11,2,THEIRS|THEIRS
25,2,THEIRS|OURS
33,1,BASETHEIRS
44,1,THEIRS
45,1,OURS
49,1,OURS
52,1,THEIRS
63,1,OURS
68,1,NON
86,1,OURS
87,1,NON
113,1,NON
119,1,NON
152,4,OURS|THEIRS|THEIRS|NON
158,1,OURS
164,9,NON|NON|NON|NON|OURS|OURS|NON|OURS|OURS
179,1,THEIRS
197,1,THEIRS
216,1,THEIRS
219,1,OURS
228,1,THEIRS
231,1,OURS
239,1,THEIRS
244,1,THEIRS
256,1,OURSTHEIRS
268,2,OURS|OURS
277,11,OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|OURS|OURSTHEIRS|OURS|OURS|OURS|OURS|OURS|OURS
285,1,THEIRS
289,3,OURSTHEIRS|NON|NON
299,1,THEIRS
308,1,BASE
326,2,THEIRS|NON
330,1,OURS
337,2,NON|NON
364,12,OURS|OURSTHEIRS|NON|OURS|THEIRS|OURS|OURS|OURSTHEIRS|NON|OURS|OURS|OURSTHEIRS
369,4,OURS|OURS|OURS|NON
372,9,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
435,8,NON|NON|BASETHEIRS|THEIRS|OURS|THEIRS|OURS|THEIRS
448,14,OURS|OURS|OURS|OURS|OURS|NON|OURS|OURS|OURS|OURS|NON|OURS|OURS|OURS
463,1,THEIRS
465,1,THEIRS
474,1,OURS
476,1,THEIRS
506,1,THEIRS
522,9,THEIRS|NON|THEIRS|THEIRS|THEIRS|THEIRS|OURS|NON|THEIRS
530,1,THEIRS
537,1,OURS
544,1,OURS
545,1,OURSTHEIRS
549,1,OURS
