merge_id,num_chunks,total_resolution_pattern
3,2,THEIRS|THEIRS
14,3,NON|OURS|THEIRS
22,1,NON
26,27,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON
39,1,THEIRS
47,3,THEIRS|THEIRS|THEIRS
57,2,OURS|OURS
71,4,OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|OURSTHEIRS
84,2,OURSTHEIRS|OURSTHEIRS
88,1,THEIRS
92,4,THEIRS|THEIRS|THEIRS|THEIRS
98,2,THEIRS|THEIRS
101,2,NON|NON
106,1,NON
110,1,NON
126,1,THEIRS
130,29,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON
134,1,OURSTHEIRS
136,7,THEIRS|NON|THEIRS|THEIRS|THEIRS|NON|THEIRS
140,17,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|NON|NON|NON|NON|OURS
149,3,THEIRS|THEIRS|THEIRS
155,4,THEIRS|THEIRS|BASETHEIRS|THEIRS
159,1,THEIRS
163,1,NON
169,2,OURS|OURS
171,1,THEIRS
172,1,NON
176,1,THEIRS
177,2,THEIRS|THEIRS
178,3,THEIRS|THEIRS|THEIRS
185,1,THEIRS
193,2,NON|NON
196,1,THEIRS
204,2,OURSTHEIRS|OURS
213,4,OURS|OURS|OURS|OURS
242,2,NON|NON
249,24,OURSTHEIRS|OURSTHEIRS|NON|OURSTHEIRS|OURSTHEIRS|THEIRS|THEIRS|THEIRS|NON|NON|NON|THEIRS|THEIRS|THEIRS|NON|NON|NON|NON|NON|NON|NON|NON|NON|NON
258,8,NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS
263,3,THEIRS|OURS|OURS
265,1,NON
267,4,BASETHEIRS|THEIRS|NON|NON
271,3,OURS|THEIRS|THEIRS
276,2,THEIRS|THEIRS
286,2,NON|NON
291,2,OURSTHEIRS|THEIRS
323,2,OURS|OURS
324,1,NON
334,1,BASE
335,2,NON|BASE
341,3,OURS|OURS|OURS
351,1,OURS
353,1,THEIRS
359,1,NON
360,3,EMPTY|NON|NON
371,2,OURSTHEIRS|OURSTHEIRS
