merge_id,num_chunks,total_resolution_pattern
13,2,NON|NON
15,1,OURS
19,1,NON
54,7,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
69,9,NON|OURS|BASE|NON|BASE|BASE|OURS|OURS|OURS
81,8,THEIRS|THEIRS|THEIRS|THEIRS|NON|THEIRS|OURS|OURS
125,3,THEIRS|BASETHEIRS|OURS
128,4,THEIRS|THEIRS|THEIRS|THEIRS
142,1,THEIRS
143,28,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|EMPTY|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
167,1,NON
184,8,OURS|THEIRS|OURS|OURS|OURS|OURS|NON|OURS
191,1,THEIRS
235,3,THEIRS|NON|THEIRS
257,1,THEIRS
261,1,THEIRS
269,1,OURS
281,2,THEIRS|THEIRS
288,5,OURS|OURS|OURS|OURS|OURS
290,8,THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
292,1,NON
297,4,NON|OURS|OURS|OURS
301,4,THEIRS|THEIRS|NON|THEIRS
336,1,NON
340,4,NON|NON|NON|OURS
344,7,OURS|OURS|OURS|NON|NON|OURS|OURS
368,1,THEIRS
373,2,NON|OURS
377,1,OURS
382,1,OURS
385,2,OURS|OURS
388,1,OURS
401,4,NON|OURS|OURS|NON
416,5,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
423,1,OURS
425,1,THEIRS
438,1,OURS
442,5,NON|NON|NON|OURS|OURS
443,1,THEIRS
461,8,OURS|OURS|THEIRS|THEIRS|OURS|OURS|OURS|OURS
470,4,NON|NON|THEIRS|NON
494,1,NON
509,2,OURSTHEIRS|NON
512,1,OURS
531,1,THEIRS
543,1,OURS
550,1,THEIRS
560,2,NON|OURS
589,5,OURSTHEIRS|BASE|OURS|BASE|OURSTHEIRS
601,1,NON
609,1,OURS
611,1,THEIRS
613,1,OURSTHEIRS
622,1,THEIRS
626,1,OURS
631,2,THEIRS|THEIRS
638,1,NON
657,1,OURS
660,2,OURS|OURS
662,1,OURS
666,1,OURS
688,1,THEIRS
702,1,OURSTHEIRS
711,4,NON|NON|NON|BASE
753,34,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
758,2,BASE|OURS
769,2,NON|THEIRS
773,17,OURS|OURS|OURS|OURS|OURSTHEIRS|BASE|OURSTHEIRS|THEIRS|OURS|BASE|OURSTHEIRS|OURS|OURS|OURS|OURS|NON|OURS
776,24,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
781,95,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
784,2,OURS|THEIRS
804,1,OURS
812,1,OURS
822,1,NON
852,56,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON|THEIRS|THEIRS|NON|THEIRS|NON|THEIRS|NON|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|OURS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
865,14,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
880,1,OURS
884,1,OURS
886,2,OURS|NON
901,1,OURS
912,2,THEIRS|THEIRS
925,1,THEIRS
957,2,OURSTHEIRS|NON
963,1,NON
1000,1,NON
1012,1,OURS
1013,1,NON
1019,1,OURS
1029,1,NON
1056,1,NON
1057,2,THEIRS|OURS
1072,1,NON
1074,1,OURSBASE
1082,2,OURSTHEIRS|OURSTHEIRS
1095,3,NON|OURS|OURS
1099,3,THEIRS|THEIRS|THEIRS
1130,1,NON
1134,15,THEIRS|THEIRS|NON|THEIRS|NON|NON|OURS|THEIRS|OURS|NON|NON|NON|NON|OURSTHEIRS|NON
1156,2,THEIRS|NON
1157,1,OURS
1160,2,OURSTHEIRS|OURSTHEIRS
1165,1,THEIRS
1180,1,OURSTHEIRS
1181,1,THEIRS
1192,1,NON
1194,1,OURS
1200,1,OURS
1204,3,THEIRS|THEIRS|THEIRS
1227,3,THEIRS|NON|NON
1239,9,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|OURSTHEIRS|NON|OURSTHEIRS|THEIRS
1241,3,OURS|OURS|OURS
1244,1,THEIRS
1245,1,OURS
1262,1,OURS
1277,1,OURS
1279,1,NON
1285,2,OURSTHEIRS|NON
1295,10,BASE|OURS|THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS
1296,1,THEIRS
