merge_id,num_chunks,total_resolution_pattern
21,1,OURS
23,2,NON|OURS
37,5,NON|NON|BASE|NON|THEIRS
38,5,THEIRS|OURS|OURS|THEIRS|THEIRS
60,3,OURS|OURS|NON
62,1,OURS
67,1,NON
78,1,OURS
79,2,THEIRS|OURS
82,1,THEIRS
96,1,OURSTHEIRS
99,1,THEIRS
103,13,THEIRS|THEIRS|OURSTHEIRS|THEIRS|OURS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON
104,2,OURSTHEIRS|NON
109,1,NON
112,1,NON
115,1,NON
129,28,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
137,18,NON|NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|OURSTHEIRS|NON|BASE
144,1,OURS
180,1,BASE
194,3,OURS|OURS|OURS
202,2,OURSTHEIRS|OURSTHEIRS
207,1,OURS
217,2,OURS|OURS
225,1,OURS
240,1,OURS
247,17,NON|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS|OURS|OURSTHEIRS|NON|NON|NON|NON|OURS|OURS|OURS
254,1,THEIRS
260,1,NON
280,2,THEIRS|THEIRS
294,3,BASETHEIRS|OURS|OURS
305,1,THEIRS
309,1,THEIRS
313,1,OURS
315,1,OURS
342,4,OURS|OURS|OURS|THEIRS
346,4,THEIRS|BASE|THEIRS|BASE
347,1,NON
349,1,OURS
355,1,THEIRS
363,1,OURS
378,6,NON|OURS|NON|THEIRS|NON|OURS
384,2,THEIRS|NON
397,1,THEIRS
408,1,OURS
418,1,NON
430,22,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON|OURS|OURS|OURS|OURS|OURS|NON|THEIRS|NON|NON|OURS|THEIRS|THEIRS|THEIRS|THEIRS|OURSTHEIRS
444,1,NON
447,1,THEIRS
451,1,OURS
453,1,BASE
454,1,OURS
458,2,OURS|OURS
464,1,OURS
466,1,NON
478,1,BASE
479,1,NON
493,1,BASE
495,1,OURSTHEIRS
496,1,OURSTHEIRS
497,3,OURS|OURS|OURS
503,1,OURS
515,1,NON
517,1,OURS
540,1,OURS
554,1,NON
558,3,NON|THEIRS|THEIRS
565,1,OURS
572,1,NON
573,1,OURSTHEIRS
578,1,OURS
598,1,THEIRS
608,2,OURS|OURSTHEIRS
618,9,OURS|NON|NON|OURS|THEIRS|OURS|BASE|OURS|NON
627,2,OURS|OURS
639,1,OURS
645,3,THEIRS|OURS|OURS
654,29,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
661,5,OURSTHEIRS|OURSTHEIRS|OURS|OURSTHEIRS|THEIRS
665,1,OURS
667,3,THEIRS|NON|NON
670,23,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
673,1,OURS
704,1,OURS
709,5,THEIRS|OURS|NON|NON|OURS
738,1,OURS
739,26,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
740,1,THEIRS
756,1,OURS
762,1,NON
770,2,THEIRS|NON
771,31,OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
777,3,OURS|OURS|OURS
820,2,OURS|OURS
828,2,NON|OURS
834,1,OURS
837,2,THEIRS|THEIRS
848,1,NON
859,1,NON
863,14,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
864,2,THEIRS|OURSTHEIRS
890,2,OURS|OURS
895,2,OURS|OURS
907,2,THEIRS|NON
920,1,OURS
929,1,NON
935,5,OURSTHEIRS|BASE|OURS|BASE|OURSTHEIRS
975,2,NON|NON
978,1,OURS
993,1,NON
1011,1,NON
1026,10,OURSBASE|THEIRS|THEIRS|OURS|OURSTHEIRS|THEIRS|OURSBASE|THEIRS|THEIRS|THEIRS
1069,2,OURSTHEIRS|NON
1087,3,THEIRS|THEIRS|THEIRS
1094,1,THEIRS
1103,10,THEIRS|THEIRS|THEIRS|NON|NON|NON|THEIRS|NON|NON|THEIRS
1112,8,NON|NON|NON|NON|THEIRS|NON|NON|NON
1132,2,OURSTHEIRS|OURS
1139,7,NON|OURS|OURS|OURS|OURS|THEIRS|NON
1189,4,OURS|NON|OURS|NON
1191,4,THEIRS|THEIRS|THEIRS|OURS
1193,1,NON
1195,2,THEIRS|THEIRS
1197,2,THEIRS|THEIRS
