merge_id,num_chunks,total_resolution_pattern
4,1,OURS
5,1,OURS
9,2,OURSTHEIRS|THEIRS
10,1,OURS
12,1,NON
18,1,NON
55,1,OURSTHEIRS
58,1,NON
73,5,NON|THEIRS|THEIRS|THEIRS|THEIRS
118,1,OURS
122,2,THEIRS|THEIRS
146,1,OURS
161,8,OURS|OURS|OURS|OURS|NON|NON|OURS|OURS
182,1,THEIRS
188,1,OURSTHEIRS
190,7,THEIRS|OURSBASE|THEIRS|OURS|THEIRS|THEIRS|NON
198,2,OURSTHEIRS|NON
220,3,OURS|OURS|OURS
223,1,THEIRS
226,1,THEIRS
229,10,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
232,1,OURSTHEIRS
250,3,OURS|OURS|OURS
252,19,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|BASETHEIRS|THEIRS
262,4,OURS|OURS|OURS|OURS
272,1,THEIRS
287,22,NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|OURS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
293,2,OURS|NON
298,2,OURS|OURS
307,2,THEIRS|THEIRS
320,1,THEIRS
325,3,OURS|OURS|OURSTHEIRS
333,3,THEIRS|THEIRS|THEIRS
345,1,THEIRS
348,7,OURS|OURS|OURS|NON|OURS|OURS|OURS
365,2,OURS|OURSTHEIRS
426,6,NON|NON|OURS|OURSTHEIRS|NON|OURS
441,1,THEIRS
446,4,NON|OURS|OURS|NON
482,2,OURS|THEIRS
484,2,OURS|OURS
489,1,THEIRS
513,1,OURS
525,1,OURS
527,2,OURS|NON
528,1,NON
556,8,THEIRS|THEIRS|THEIRS|NON|OURSTHEIRS|THEIRS|OURSTHEIRS|NON
567,1,BASE
570,3,OURS|OURS|OURS
584,1,NON
625,1,BASE
632,1,THEIRS
633,1,THEIRS
659,1,OURS
687,1,OURS
697,5,OURS|OURS|OURS|OURS|OURS
716,1,BASETHEIRS
718,2,OURSTHEIRS|NON
722,5,THEIRS|NON|NON|NON|NON
732,1,THEIRS
761,1,OURS
763,1,NON
814,3,THEIRS|OURS|OURS
821,1,OURS
833,13,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
843,1,NON
849,1,NON
851,2,THEIRS|THEIRS
869,4,THEIRS|THEIRS|THEIRS|THEIRS
874,2,THEIRS|THEIRS
889,6,OURS|OURS|OURS|OURS|OURS|OURS
905,1,THEIRS
914,1,NON
916,1,OURS
926,10,NON|NON|OURS|NON|NON|NON|NON|NON|OURS|NON
936,1,OURS
945,1,THEIRS
991,1,NON
992,1,OURS
999,1,NON
1036,1,THEIRS
1050,1,THEIRS
1058,1,OURSTHEIRS
1064,3,OURS|OURS|NON
1066,1,THEIRS
1073,1,OURS
1078,3,THEIRS|THEIRS|NON
1097,1,THEIRS
