merge_id,num_chunks,total_resolution_pattern
8,2,OURS|NON
17,1,OURSBASE
24,2,NON|OURS
74,3,OURS|NON|OURS
85,1,NON
89,1,THEIRS
90,1,OURSTHEIRS
135,29,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS
138,6,NON|NON|NON|OURS|OURS|THEIRS
148,2,OURS|NON
157,3,OURS|NON|THEIRS
166,2,THEIRS|THEIRS
168,1,OURS
170,13,OURS|NON|NON|NON|THEIRS|THEIRS|NON|NON|OURS|NON|NON|NON|THEIRS
186,1,OURS
187,1,OURSTHEIRS
224,1,OURS
227,1,OURS
230,4,OURS|NON|NON|OURSTHEIRS
238,3,OURS|OURS|OURS
246,5,NON|THEIRS|NON|THEIRS|OURS
278,1,OURS
284,1,THEIRS
304,2,THEIRS|THEIRS
318,15,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
321,5,OURS|OURS|OURS|THEIRS|NON
343,2,BASE|OURS
352,1,NON
358,7,THEIRS|THEIRS|THEIRS|THEIRS|OURSTHEIRS|THEIRS|THEIRS
367,3,BASE|OURS|OURS
379,7,THEIRS|THEIRS|OURS|OURSBASE|OURS|OURSBASE|THEIRS
410,1,THEIRS
413,1,OURS
419,1,NON
434,1,OURS
473,1,NON
480,12,NON|THEIRS|OURS|NON|OURS|NON|OURS|THEIRS|NON|THEIRS|NON|THEIRS
486,1,OURSTHEIRS
498,1,OURS
501,1,THEIRS
504,1,THEIRS
514,1,OURS
521,3,THEIRS|THEIRS|THEIRS
523,1,OURS
526,1,BASE
529,1,OURSTHEIRS
538,1,THEIRS
563,1,OURS
574,1,THEIRS
577,1,OURS
599,2,THEIRS|THEIRS
600,1,OURSTHEIRS
616,3,OURSTHEIRS|OURSTHEIRS|NON
624,1,THEIRS
634,1,OURS
642,1,OURS
655,1,THEIRS
656,1,OURS
668,2,OURS|OURS
669,1,BASE
686,3,NON|OURS|NON
708,4,THEIRS|THEIRS|THEIRS|THEIRS
715,1,EMPTY
717,2,OURS|OURS
727,1,OURSTHEIRS
749,5,OURS|OURSTHEIRS|THEIRS|NON|OURS
750,1,OURSTHEIRS
775,3,NON|NON|NON
789,1,THEIRS
803,1,NON
826,1,THEIRS
827,1,NON
831,18,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
835,2,OURS|OURS
836,2,OURS|OURS
846,1,NON
853,8,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
888,1,NON
894,1,OURSTHEIRS
900,1,NON
902,1,THEIRS
923,1,NON
931,1,NON
944,5,OURS|OURS|OURS|OURS|OURS
947,4,THEIRS|THEIRS|THEIRS|THEIRS
969,6,OURS|OURS|OURS|OURS|OURS|OURS
985,2,NON|OURS
997,1,OURS
998,1,NON
1002,2,OURSTHEIRS|OURS
1004,4,THEIRS|THEIRS|THEIRS|THEIRS
1016,5,THEIRS|NON|THEIRS|NON|THEIRS
1024,3,THEIRS|THEIRS|OURS
1027,3,THEIRS|THEIRS|OURS
1033,1,THEIRS
1034,1,THEIRS
1035,1,OURSBASE
1047,1,THEIRS
1061,3,NON|NON|NON
1075,1,NON
1091,2,THEIRS|OURS
1107,12,NON|THEIRS|OURS|NON|OURS|NON|OURS|THEIRS|NON|THEIRS|NON|THEIRS
1121,2,THEIRS|OURSTHEIRS
1138,1,NON
1152,3,NON|NON|OURS
1166,1,NON
1174,2,OURS|OURS
1187,6,THEIRS|THEIRS|THEIRS|NON|NON|NON
1199,3,OURSTHEIRS|NON|NON
1207,1,NON
1210,2,OURS|NON
1212,2,OURS|THEIRS
1247,1,OURS
1249,1,NON
1251,1,NON
