merge_id,num_chunks,total_resolution_pattern
16,2,OURSTHEIRS|NON
32,1,OURS
35,2,THEIRS|OURS
42,4,OURS|OURS|OURS|THEIRS
56,1,OURS
76,4,OURS|OURS|NON|OURS
83,1,OURSTHEIRS
91,2,OURSBASE|OURS
94,1,OURS
102,3,OURS|OURS|OURS
105,1,OURS
111,1,NON
123,1,THEIRS
124,5,NON|OURSTHEIRS|OURS|OURS|NON
131,28,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
147,2,OURS|NON
150,3,OURSTHEIRS|OURSTHEIRS|OURSTHEIRS
154,3,OURS|OURS|NON
183,3,OURSTHEIRS|OURS|NON
195,2,OURS|BASE
200,1,THEIRS
210,1,THEIRS
214,5,THEIRS|THEIRS|THEIRS|THEIRS|NON
218,9,THEIRS|NON|NON|NON|OURS|OURSBASE|NON|OURS|OURS
221,1,OURS
236,3,OURS|OURS|OURS
259,1,OURSTHEIRS
266,1,NON
274,5,BASETHEIRS|THEIRS|OURS|THEIRS|OURS
283,1,NON
302,2,OURS|OURS
311,1,THEIRS
327,1,OURS
332,1,THEIRS
356,12,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON|NON|NON|OURSTHEIRS|THEIRS
376,1,THEIRS
381,3,NON|NON|NON
391,1,THEIRS
392,2,NON|NON
394,1,OURS
395,16,NON|OURS|OURS|OURS|NON|OURS|OURS|NON|OURS|OURSTHEIRS|NON|NON|NON|OURSTHEIRS|THEIRS|OURS
398,1,THEIRS
399,4,NON|NON|NON|NON
400,1,OURSTHEIRS
411,2,OURS|THEIRS
424,4,OURS|OURS|OURS|OURS
