merge_id,num_chunks,total_resolution_pattern
1,1,OURS
7,2,OURS|THEIRS
27,2,THEIRS|NON
30,1,THEIRS
31,1,NON
48,2,OURSTHEIRS|NON
64,1,THEIRS
65,1,NON
95,2,THEIRS|THEIRS
100,1,NON
107,1,NON
127,1,OURS
160,1,THEIRS
174,1,NON
175,20,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
208,1,OURS
212,1,OURS
215,1,OURS
222,1,THEIRS
233,1,OURSTHEIRS
245,6,OURS|OURS|OURS|OURS|NON|NON
251,1,THEIRS
264,1,THEIRS
275,5,NON|OURS|THEIRS|NON|NON
295,2,OURS|OURS
300,1,NON
303,3,OURS|OURS|OURS
314,1,OURS
319,1,THEIRS
328,10,OURS|OURS|NON|THEIRS|THEIRS|THEIRS|NON|OURS|OURS|NON
338,1,THEIRS
339,1,NON
350,1,OURS
366,1,OURS
380,1,THEIRS
393,1,OURS
403,1,THEIRS
405,6,NON|NON|NON|OURS|THEIRS|NON
